Town,Federal_subject,Founded,Population,Area,Founded.1
Khabarovsk,Khabarovsk_Krai,1858.0,618150,400.0,
Arhangelsk,Arhangelsk_Krai,1584.0,349742,295.0,
Belgorod,Belgorod_Oblast,1596.0,384425,153.0,
Kursk,aefc,234.0,32,32.0,
Lipetsk,Lipetsk_Oblast,1703.0,509735,330.0,
Novosibirsk,Novosibirsk_Oblast,1893.0,1612833,503.0,
Orenburg,Orenburg_Oblast,1743.0,564773,259.0,
Tomsk,asefsef,23323.0,32,23323.0,
Ulyanovsk,Ulyanovsk_Oblast,1648.0,626540,317.0,
Yaroslavl,Yaroslavl_Oblast,1010.0,608722,206.0,
Izhevsk,Udmurtia,1760.0,648213,315.0,
Grozny,Chechnya,1818.0,297137,342.0,
Yakutsk,Sakha_Republic,1632.0,311760,122.0,
Astrakhan,Astrakhan_Oblast,1558.0,533925,209.0,
Bryansk,Bryansk_Oblast,1146.0,405723,230.0,
Voronezh,fv,234.0,234234,234.0,
Kaliningrad,Kaliningrad_Oblast,1255.0,475056,223.0,
Kostroma,Kostroma_Oblast,1152.0,277280,145.0,
Saint_Petersburg,Saint_Petersburg,1703.0,5351935,1439.0,
Murmansk,aaverfv,3453245.0,2345,2345.0,
Veliky_Novgorod,Novgorod_Oblast,862.0,222868,90.0,
Oryol,Oryol_Oblast,1566.0,317747,128.0,
Pskov,Pskov_Oblast,903.0,203279,96.0,
Ryazan,Ryazan_Oblast,1095.0,538962,224.0,
Lyubertsy,Moscow_Oblast,1600.0,202918,44.0,1621.0
Irkutsk,Irkutsk_Oblast,1661.0,623869,277.0,
Kemerovo,Kemerovo_Oblast,1918.0,523981,282.0,
Saratov,Saratov_Oblast,1590.0,544858,394.0,
Cheboksary,Chuvashia,1469.0,492331,251.0,
Perm,Perm_Krai,1723.0,1051583,800.0,
Khabarovsk,Khabarovsk_Krai,1858.0,618150,400.0,
Arhangelsk,Arhangelsk_Krai,1584.0,349742,295.0,
Belgorod,Belgorod_Oblast,1596.0,384425,153.0,
Kursk,aefc,234.0,32,32.0,
Lipetsk,Lipetsk_Oblast,1703.0,509735,330.0,
Novosibirsk,Novosibirsk_Oblast,1893.0,1612833,503.0,
Orenburg,Orenburg_Oblast,1743.0,564773,259.0,
Tomsk,asefsef,23323.0,32,23323.0,
Tula,Tula_Oblast,1146.0,482873,2345.0,
Ulyanovsk,Ulyanovsk_Oblast,1648.0,626540,317.0,
Yaroslavl,Yaroslavl_Oblast,1010.0,608722,206.0,
Izhevsk,Udmurtia,1760.0,648213,315.0,
Grozny,Chechnya,1818.0,297137,342.0,
Yakutsk,Sakha_Republic,1632.0,311760,122.0,
Chita,rty,234.0,567,61658.0,
Astrakhan,Astrakhan_Oblast,1558.0,533925,209.0,
Bryansk,Bryansk_Oblast,1146.0,405723,230.0,
Voronezh,fv,234.0,234234,234.0,
Kaliningrad,Kaliningrad_Oblast,1255.0,475056,223.0,
Kirov,sdrg,234.0,325,325.0,
Kostroma,Kostroma_Oblast,1152.0,277280,145.0,
Saint_Petersburg,Saint_Petersburg,1703.0,5351935,1439.0,
Murmansk,aaverfv,3453245.0,2345,2345.0,
Veliky_Novgorod,Novgorod_Oblast,862.0,222868,90.0,
Oryol,Oryol_Oblast,1566.0,317747,128.0,
Pskov,Pskov_Oblast,903.0,203279,96.0,
Ryazan,Ryazan_Oblast,1095.0,538962,224.0,
Lyubertsy,Moscow_Oblast,1600.0,202918,44.0,1621.0
Irkutsk,Irkutsk_Oblast,1661.0,623869,277.0,
Kemerovo,Kemerovo_Oblast,1918.0,523981,282.0,
Nizhny_Novgorod,Nizhny_Novgorod_Oblast,1221.0,1259013,460.0,
Saratov,Saratov_Oblast,1590.0,544858,394.0,
Cheboksary,Chuvashia,1469.0,492331,251.0,
Perm,Perm_Krai,1723.0,1051583,800.0,
Khabarovsk,Khabarovsk_Krai,1858.0,618150,400.0,
Arhangelsk,Arhangelsk_Krai,1584.0,349742,295.0,
Belgorod,Belgorod_Oblast,1596.0,384425,153.0,
Kursk,aefc,234.0,32,32.0,
Lipetsk,Lipetsk_Oblast,1703.0,509735,330.0,
Novosibirsk,Novosibirsk_Oblast,1893.0,1612833,503.0,
Orenburg,Orenburg_Oblast,1743.0,564773,259.0,
Tomsk,asefsef,23323.0,32,23323.0,
Tula,Tula_Oblast,1146.0,482873,2345.0,
Ulyanovsk,Ulyanovsk_Oblast,1648.0,626540,317.0,
Yaroslavl,Yaroslavl_Oblast,1010.0,608722,206.0,
Izhevsk,Udmurtia,1760.0,648213,315.0,
Grozny,Chechnya,1818.0,297137,342.0,
Yakutsk,Sakha_Republic,1632.0,311760,122.0,
Chita,rty,234.0,567,61658.0,
Astrakhan,Astrakhan_Oblast,1558.0,533925,209.0,
Bryansk,Bryansk_Oblast,1146.0,405723,230.0,
Voronezh,fv,234.0,234234,234.0,
Kaliningrad,Kaliningrad_Oblast,1255.0,475056,223.0,
Kirov,sdrg,234.0,325,325.0,
Kostroma,Kostroma_Oblast,1152.0,277280,145.0,
Saint_Petersburg,Saint_Petersburg,1703.0,5351935,1439.0,
Murmansk,aaverfv,3453245.0,2345,2345.0,
Veliky_Novgorod,Novgorod_Oblast,862.0,222868,90.0,
Oryol,Oryol_Oblast,1566.0,317747,128.0,
Pskov,Pskov_Oblast,903.0,203279,96.0,
Ryazan,Ryazan_Oblast,1095.0,538962,224.0,
Lyubertsy,Moscow_Oblast,1600.0,202918,44.0,1621.0
Irkutsk,Irkutsk_Oblast,1661.0,623869,277.0,
Kemerovo,Kemerovo_Oblast,1918.0,523981,282.0,
Nizhny_Novgorod,Nizhny_Novgorod_Oblast,1221.0,1259013,460.0,
Saratov,Saratov_Oblast,1590.0,544858,394.0,
Cheboksary,Chuvashia,1469.0,492331,251.0,
Perm,Perm_Krai,1723.0,1051583,800.0,
Khabarovsk,Khabarovsk_Krai,1858.0,618150,400.0,
Arhangelsk,Arhangelsk_Krai,1584.0,349742,295.0,
Belgorod,Belgorod_Oblast,1596.0,384425,153.0,
Kursk,aefc,234.0,32,32.0,
Lipetsk,Lipetsk_Oblast,1703.0,509735,330.0,
Novosibirsk,Novosibirsk_Oblast,1893.0,1612833,503.0,
Orenburg,Orenburg_Oblast,1743.0,564773,259.0,
Tomsk,asefsef,23323.0,32,23323.0,
Ulyanovsk,Ulyanovsk_Oblast,1648.0,626540,317.0,
Yaroslavl,Yaroslavl_Oblast,1010.0,608722,206.0,
Izhevsk,Udmurtia,1760.0,648213,315.0,
Grozny,Chechnya,1818.0,297137,342.0,
Yakutsk,Sakha_Republic,1632.0,311760,122.0,
Astrakhan,Astrakhan_Oblast,1558.0,533925,209.0,
Bryansk,Bryansk_Oblast,1146.0,405723,230.0,
Voronezh,fv,234.0,234234,234.0,
Kaliningrad,Kaliningrad_Oblast,1255.0,475056,223.0,
Kirov,sdrg,234.0,325,325.0,
Kostroma,Kostroma_Oblast,1152.0,277280,145.0,
Saint_Petersburg,Saint_Petersburg,1703.0,5351935,1439.0,
Murmansk,aaverfv,3453245.0,2345,2345.0,
Veliky_Novgorod,Novgorod_Oblast,862.0,222868,90.0,
Pskov,Pskov_Oblast,903.0,203279,96.0,
Ryazan,Ryazan_Oblast,1095.0,538962,224.0,
